,DRUG+INEFFECTIVE,NAUSEA,DEATH,FATIGUE,HEADACHE,DIARRHOEA,DYSPNOEA,PAIN,OFF+LABEL+USE,DIZZINESS,MALAISE,VOMITING,RASH,ASTHENIA,ARTHRALGIA,PYREXIA,FALL,PRURITUS,PNEUMONIA,PAIN+IN+EXTREMITY,ANXIETY,INSOMNIA,INJECTION+SITE+PAIN,DRUG+DOSE+OMISSION,WEIGHT+DECREASED,FEELING+ABNORMAL,DEPRESSION,COUGH,BACK+PAIN,ABDOMINAL+PAIN,MYOCARDIAL+INFARCTION,CONDITION+AGGRAVATED,WEIGHT+INCREASED,DECREASED+APPETITE,BLOOD+GLUCOSE+INCREASED,HYPERTENSION,CHEST+PAIN,SOMNOLENCE,DRUG+HYPERSENSITIVITY,ERYTHEMA,HYPOTENSION,ANAEMIA,ABDOMINAL+PAIN+UPPER,ALOPECIA,GAIT+DISTURBANCE,CEREBROVASCULAR+ACCIDENT,CONSTIPATION,MUSCLE+SPASMS,MYALGIA,TREMOR,HYPERSENSITIVITY,NASOPHARYNGITIS,PRODUCT+QUALITY+ISSUE,CONFUSIONAL+STATE,PARAESTHESIA,OVERDOSE,DRUG+INTERACTION,URTICARIA,URINARY+TRACT+INFECTION,HYPOAESTHESIA,PRODUCT+USE+ISSUE,INCORRECT+DOSE+ADMINISTERED,TOXICITY+TO+VARIOUS+AGENTS,BLOOD+PRESSURE+INCREASED,ABDOMINAL+DISCOMFORT,OEDEMA+PERIPHERAL,RENAL+FAILURE,DEHYDRATION,WRONG+TECHNIQUE+IN+PRODUCT+USAGE+PROCESS,HYPERHIDROSIS,LOSS+OF+CONSCIOUSNESS,VISION+BLURRED,INJECTION+SITE+ERYTHEMA,MEMORY+IMPAIRMENT,PRODUCT+USE+IN+UNAPPROVED+INDICATION,INFECTION,NO+ADVERSE+EVENT,ACUTE+KIDNEY+INJURY,PALPITATIONS,PERIPHERAL+SWELLING,MUSCULAR+WEAKNESS,FLUSHING,PSORIASIS,CHILLS,INAPPROPRIATE+SCHEDULE+OF+DRUG+ADMINISTRATION,SEPSIS,HOSPITALISATION,PULMONARY+EMBOLISM,CARDIAC+FAILURE+CONGESTIVE,HAEMOGLOBIN+DECREASED,NEUTROPENIA,THROMBOCYTOPENIA,GASTROINTESTINAL+HAEMORRHAGE,SYNCOPE,VISUAL+IMPAIRMENT,DRY+SKIN,INFLUENZA,HAEMORRHAGE,ABDOMINAL+DISTENSION,PRODUCT+DOSE+OMISSION
US,1086689.0,242426.0,232680.0,250303.0,213240.0,188292.0,160612.0,720364.0,6136862.0,152213.0,156517.0,120458.0,200709.0,100808.0,116958.0,66465.0,92831.0,164753.0,90829.0,1375489.0,90167.0,92933.0,1259286.0,1549383.0,486795.0,310291.0,71035.0,92739.0,1094080.0,1150405.0,70233.0,72781.0,511129.0,388622.0,552404.0,65734.0,1103966.0,54140.0,1164325.0,141929.0,47203.0,50135.0,1180768.0,84066.0,100651.0,118396.0,64590.0,107184.0,46552.0,46399.0,156998.0,67519.0,915028.0,95976.0,50678.0,72895.0,1085755.0,57871.0,320239.0,51157.0,6136862.0,776207.0,260851.0,580094.0,294815.0,171773.0,201707.0,36860.0,2785170.0,34311.0,1213857.0,41432.0,406382.0,103981.0,6136862.0,224810.0,2589308.0,216108.0,29704.0,240390.0,33485.0,33151.0,49446.0,30035.0,5784954.0,24689.0,43183.0,100516.0,208403.0,422134.0,22203.0,13156.0,237323.0,19136.0,116563.0,299214.0,71956.0,199067.0,204376.0,1127301.0
CA,56929.0,17011.0,19546.0,19964.0,13451.0,14422.0,16379.0,47910.0,260177.0,9723.0,14186.0,10232.0,10794.0,9013.0,15137.0,8160.0,8858.0,7704.0,14006.0,75415.0,4972.0,6693.0,67262.0,75872.0,43141.0,20518.0,4421.0,12429.0,65199.0,68612.0,4544.0,10814.0,41334.0,39291.0,45854.0,6050.0,66700.0,3245.0,59925.0,5865.0,4562.0,3230.0,70365.0,3971.0,7858.0,5234.0,3691.0,5770.0,3185.0,2648.0,10216.0,9546.0,46824.0,6643.0,3116.0,2976.0,56925.0,4444.0,36707.0,4086.0,260177.0,31784.0,20281.0,46428.0,26293.0,15082.0,17119.0,2609.0,140116.0,2753.0,77590.0,2016.0,11973.0,5660.0,260177.0,31373.0,95634.0,11822.0,2359.0,22519.0,2412.0,1849.0,3353.0,2988.0,247131.0,2698.0,3283.0,9829.0,16837.0,39838.0,2548.0,996.0,15595.0,2106.0,6274.0,16068.0,7064.0,10026.0,19440.0,49933.0
GB,27234.0,11455.0,18345.0,12609.0,10765.0,10134.0,12637.0,32220.0,298758.0,11376.0,15434.0,8877.0,11258.0,4609.0,6503.0,5182.0,5723.0,6524.0,6125.0,76062.0,6787.0,6353.0,61458.0,59025.0,24438.0,21035.0,6226.0,4807.0,59929.0,62091.0,4869.0,4848.0,28196.0,20023.0,30321.0,2970.0,61261.0,4210.0,30426.0,3822.0,4893.0,3397.0,63474.0,2489.0,5533.0,5437.0,3511.0,7098.0,5469.0,4755.0,3895.0,1738.0,39952.0,13600.0,5797.0,5595.0,27549.0,2217.0,37944.0,3097.0,298758.0,39127.0,23417.0,30498.0,17105.0,11460.0,14563.0,1917.0,159392.0,3506.0,92652.0,3377.0,6295.0,7958.0,298758.0,22990.0,147678.0,17020.0,4081.0,16259.0,2976.0,1137.0,1640.0,1831.0,275725.0,6054.0,6080.0,7000.0,14127.0,21355.0,3900.0,1853.0,13935.0,3264.0,9437.0,17316.0,2811.0,10937.0,11719.0,45860.0
FR,24949.0,6771.0,6135.0,9799.0,7641.0,8447.0,6730.0,16309.0,250505.0,3397.0,5473.0,7089.0,8767.0,7285.0,4012.0,6414.0,6355.0,4945.0,3792.0,41553.0,3333.0,4519.0,34362.0,39026.0,18155.0,7201.0,4800.0,2005.0,32941.0,33834.0,2655.0,3809.0,22496.0,13689.0,23139.0,4000.0,33598.0,5066.0,27640.0,4248.0,6464.0,7970.0,34155.0,4132.0,4662.0,4268.0,1845.0,4683.0,3774.0,2420.0,2878.0,280.0,18691.0,7648.0,2375.0,6287.0,24996.0,2001.0,26174.0,606.0,250505.0,17972.0,16853.0,22711.0,9504.0,11374.0,19255.0,1962.0,102692.0,2119.0,60602.0,1385.0,6109.0,3463.0,250505.0,8882.0,174823.0,30981.0,2160.0,5819.0,1066.0,263.0,791.0,1490.0,218013.0,2851.0,390.0,8009.0,18825.0,14458.0,5811.0,5948.0,10517.0,1012.0,4998.0,11814.0,705.0,7396.0,7662.0,26053.0
IT,23872.0,4155.0,2410.0,1406.0,2499.0,3884.0,5576.0,8929.0,138001.0,1102.0,2453.0,5296.0,3750.0,5822.0,875.0,3451.0,1511.0,3529.0,1923.0,25763.0,733.0,731.0,14970.0,31905.0,6045.0,2988.0,710.0,1154.0,14528.0,14985.0,1844.0,1135.0,9264.0,5333.0,9694.0,1995.0,14957.0,1725.0,25494.0,4143.0,4585.0,5845.0,15207.0,623.0,1084.0,1379.0,730.0,1215.0,726.0,1650.0,2130.0,65.0,8075.0,5047.0,1806.0,5405.0,23916.0,2248.0,9002.0,267.0,138001.0,10919.0,10745.0,9669.0,5714.0,7075.0,8879.0,985.0,58483.0,1735.0,35741.0,435.0,4677.0,1328.0,138001.0,3083.0,89462.0,13369.0,635.0,2819.0,378.0,732.0,202.0,546.0,124473.0,1317.0,63.0,2459.0,8987.0,5698.0,4134.0,2929.0,6212.0,3016.0,1823.0,3808.0,301.0,5214.0,4838.0,14355.0
JP,18584.0,6041.0,7337.0,1756.0,2262.0,7158.0,3284.0,9030.0,259359.0,2942.0,5685.0,4126.0,6520.0,1322.0,1514.0,10649.0,4486.0,2411.0,14305.0,38983.0,473.0,1580.0,22576.0,37671.0,30101.0,11943.0,1173.0,1679.0,20689.0,22004.0,10971.0,4004.0,23522.0,28230.0,30100.0,3836.0,21236.0,2260.0,19360.0,4449.0,1228.0,9001.0,23300.0,723.0,1648.0,5300.0,2267.0,1756.0,806.0,887.0,973.0,1261.0,12015.0,5497.0,210.0,3100.0,18626.0,907.0,19924.0,1581.0,259359.0,22806.0,20761.0,29796.0,5591.0,10869.0,27699.0,2271.0,89476.0,436.0,74799.0,468.0,6672.0,7793.0,259359.0,10139.0,127596.0,14735.0,879.0,6061.0,1115.0,254.0,304.0,518.0,229953.0,3595.0,2189.0,6660.0,20577.0,29447.0,6320.0,2548.0,17292.0,540.0,9159.0,7063.0,768.0,14377.0,4300.0,27504.0
DE,16598.0,7835.0,6489.0,7270.0,4497.0,6625.0,8032.0,16108.0,190403.0,6422.0,1558.0,4984.0,4153.0,3513.0,3171.0,4991.0,4781.0,2921.0,6369.0,39708.0,1721.0,1332.0,34170.0,41835.0,15687.0,7091.0,2823.0,2509.0,32837.0,34000.0,4447.0,2566.0,20736.0,13417.0,21442.0,3592.0,33428.0,1810.0,18325.0,2528.0,2225.0,5163.0,34824.0,1624.0,4617.0,7564.0,1817.0,3278.0,2819.0,1538.0,1964.0,1598.0,23480.0,3205.0,2131.0,3065.0,16649.0,851.0,16859.0,1672.0,190403.0,29877.0,16369.0,21319.0,9572.0,8194.0,14308.0,1663.0,87187.0,1576.0,52517.0,747.0,4250.0,4322.0,190403.0,10749.0,104667.0,10756.0,1477.0,6775.0,1546.0,663.0,752.0,1694.0,172438.0,3218.0,526.0,7811.0,13793.0,14214.0,2842.0,3083.0,12100.0,2799.0,5099.0,7809.0,1357.0,9354.0,6848.0,35506.0
BR,14344.0,3183.0,6058.0,3727.0,4134.0,3017.0,4716.0,16383.0,92823.0,3273.0,6759.0,3086.0,1397.0,3908.0,3549.0,3444.0,3493.0,2719.0,4510.0,30919.0,1602.0,2055.0,20414.0,19574.0,12888.0,9240.0,2117.0,2401.0,19422.0,20166.0,3047.0,1893.0,15254.0,11033.0,15293.0,3249.0,19583.0,1605.0,16125.0,2357.0,1072.0,2198.0,20601.0,834.0,4082.0,3559.0,713.0,1383.0,587.0,1713.0,2531.0,765.0,9798.0,1991.0,844.0,662.0,14344.0,460.0,10935.0,1187.0,92823.0,8845.0,3856.0,16757.0,6496.0,4771.0,5702.0,502.0,44521.0,794.0,18376.0,1026.0,4523.0,4519.0,92823.0,8844.0,41502.0,5265.0,400.0,5951.0,1031.0,191.0,870.0,656.0,80975.0,952.0,643.0,3044.0,5966.0,11356.0,683.0,485.0,5579.0,1560.0,5022.0,4861.0,2751.0,3760.0,4472.0,13867.0
ES,9901.0,1394.0,2180.0,1074.0,1059.0,2225.0,1421.0,3819.0,71442.0,1317.0,820.0,1649.0,1613.0,1998.0,528.0,1975.0,899.0,1210.0,1723.0,14097.0,554.0,571.0,9407.0,15652.0,3869.0,1748.0,611.0,489.0,8916.0,9350.0,1263.0,1069.0,4191.0,3305.0,4053.0,1082.0,9038.0,871.0,10831.0,1097.0,1049.0,2597.0,9907.0,327.0,774.0,897.0,496.0,669.0,472.0,596.0,1010.0,218.0,6320.0,2033.0,485.0,1098.0,9939.0,789.0,8889.0,205.0,71442.0,7653.0,7118.0,4083.0,2384.0,2757.0,6677.0,244.0,27991.0,398.0,20342.0,252.0,1741.0,954.0,71442.0,4539.0,37408.0,6629.0,240.0,1463.0,398.0,142.0,258.0,208.0,60839.0,815.0,120.0,1874.0,6278.0,3607.0,2423.0,1447.0,3712.0,654.0,1331.0,2868.0,309.0,2966.0,1757.0,9644.0
AU,7152.0,1982.0,5044.0,1803.0,1450.0,1634.0,1845.0,5154.0,65305.0,1262.0,2016.0,1419.0,1631.0,680.0,911.0,1430.0,1662.0,740.0,1687.0,11897.0,813.0,621.0,9080.0,11992.0,5672.0,3230.0,914.0,714.0,8563.0,8928.0,1189.0,894.0,6131.0,4856.0,6881.0,1130.0,8756.0,472.0,7548.0,627.0,1167.0,850.0,9285.0,273.0,765.0,1697.0,518.0,876.0,445.0,481.0,558.0,312.0,6638.0,1683.0,569.0,1925.0,7156.0,418.0,6121.0,365.0,65305.0,6447.0,5076.0,6613.0,2391.0,2037.0,4231.0,498.0,28175.0,481.0,15990.0,449.0,1487.0,1771.0,65305.0,4476.0,22381.0,3748.0,360.0,2020.0,456.0,318.0,218.0,463.0,57015.0,1098.0,583.0,2328.0,4079.0,5186.0,1242.0,524.0,3123.0,511.0,2079.0,2801.0,692.0,2439.0,1668.0,8909.0
